year,month,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units,date,state,year_quarter,month_name
2014,3,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),19205.0,MMCF,2014-03-01,TX,2014Q1,March
2014,3,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),135561.0,MMCF,2014-03-01,TX,2014Q1,March
2014,3,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),353.0,MMCF,2014-03-01,TX,2014Q1,March
2014,3,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),94692.0,MMCF,2014-03-01,TX,2014Q1,March
2014,4,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),15627.0,MMCF,2014-04-01,TX,2014Q2,April
2014,4,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),99834.0,MMCF,2014-04-01,TX,2014Q2,April
2014,4,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),260005.0,MMCF,2014-04-01,TX,2014Q2,April
2014,4,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),129422.0,MMCF,2014-04-01,TX,2014Q2,April
2014,4,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),342.0,MMCF,2014-04-01,TX,2014Q2,April
2014,4,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),14780.0,MMCF,2014-04-01,TX,2014Q2,April
2014,5,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),11280.0,MMCF,2014-05-01,TX,2014Q2,May
2014,5,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),133904.0,MMCF,2014-05-01,TX,2014Q2,May
2014,5,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),111872.0,MMCF,2014-05-01,TX,2014Q2,May
2014,5,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),8855.0,MMCF,2014-05-01,TX,2014Q2,May
2014,5,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),353.0,MMCF,2014-05-01,TX,2014Q2,May
2014,5,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),266265.0,MMCF,2014-05-01,TX,2014Q2,May
2014,6,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),342.0,MMCF,2014-06-01,TX,2014Q2,June
2014,6,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),10733.0,MMCF,2014-06-01,TX,2014Q2,June
2014,6,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),131526.0,MMCF,2014-06-01,TX,2014Q2,June
2014,6,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),279037.0,MMCF,2014-06-01,TX,2014Q2,June
2014,6,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),129458.0,MMCF,2014-06-01,TX,2014Q2,June
2014,6,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),6977.0,MMCF,2014-06-01,TX,2014Q2,June
2014,7,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),151814.0,MMCF,2014-07-01,TX,2014Q3,July
2014,7,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),353.0,MMCF,2014-07-01,TX,2014Q3,July
2014,7,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),10743.0,MMCF,2014-07-01,TX,2014Q3,July
2014,7,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),135899.0,MMCF,2014-07-01,TX,2014Q3,July
2014,7,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),6188.0,MMCF,2014-07-01,TX,2014Q3,July
2014,7,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),304999.0,MMCF,2014-07-01,TX,2014Q3,July
2014,8,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),10099.0,MMCF,2014-08-01,TX,2014Q3,August
2014,8,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),171985.0,MMCF,2014-08-01,TX,2014Q3,August
2014,8,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),322822.0,MMCF,2014-08-01,TX,2014Q3,August
2014,8,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),5661.0,MMCF,2014-08-01,TX,2014Q3,August
2014,8,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),353.0,MMCF,2014-08-01,TX,2014Q3,August
2014,8,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),134723.0,MMCF,2014-08-01,TX,2014Q3,August
2014,9,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),5951.0,MMCF,2014-09-01,TX,2014Q3,September
2014,9,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),135001.0,MMCF,2014-09-01,TX,2014Q3,September
2014,9,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),278723.0,MMCF,2014-09-01,TX,2014Q3,September
2014,9,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),342.0,MMCF,2014-09-01,TX,2014Q3,September
2014,9,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),10330.0,MMCF,2014-09-01,TX,2014Q3,September
2014,9,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),127100.0,MMCF,2014-09-01,TX,2014Q3,September
2014,10,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),353.0,MMCF,2014-10-01,TX,2014Q4,October
2014,10,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),259428.0,MMCF,2014-10-01,TX,2014Q4,October
2014,10,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),6881.0,MMCF,2014-10-01,TX,2014Q4,October
2014,10,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),11298.0,MMCF,2014-10-01,TX,2014Q4,October
2014,10,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),122863.0,MMCF,2014-10-01,TX,2014Q4,October
2014,10,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),118033.0,MMCF,2014-10-01,TX,2014Q4,October
2014,11,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),14388.0,MMCF,2014-11-01,TX,2014Q4,November
2014,11,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),100467.0,MMCF,2014-11-01,TX,2014Q4,November
2014,11,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),342.0,MMCF,2014-11-01,TX,2014Q4,November
2014,11,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),131090.0,MMCF,2014-11-01,TX,2014Q4,November
2014,11,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),14635.0,MMCF,2014-11-01,TX,2014Q4,November
2014,11,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),260922.0,MMCF,2014-11-01,TX,2014Q4,November
2014,12,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),297357.0,MMCF,2014-12-01,TX,2014Q4,December
2014,12,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),137385.0,MMCF,2014-12-01,TX,2014Q4,December
2014,12,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),31730.0,MMCF,2014-12-01,TX,2014Q4,December
2014,12,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),353.0,MMCF,2014-12-01,TX,2014Q4,December
2014,12,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),20365.0,MMCF,2014-12-01,TX,2014Q4,December
2014,12,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),107524.0,MMCF,2014-12-01,TX,2014Q4,December
2015,1,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),27388.0,MMCF,2015-01-01,TX,2015Q1,January
2015,1,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),126489.0,MMCF,2015-01-01,TX,2015Q1,January
2015,1,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),348119.0,MMCF,2015-01-01,TX,2015Q1,January
2015,1,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),53622.0,MMCF,2015-01-01,TX,2015Q1,January
2015,1,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),373.0,MMCF,2015-01-01,TX,2015Q1,January
2015,1,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),140247.0,MMCF,2015-01-01,TX,2015Q1,January
2015,2,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),21751.0,MMCF,2015-02-01,TX,2015Q1,February
2015,2,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),125336.0,MMCF,2015-02-01,TX,2015Q1,February
2015,2,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),36891.0,MMCF,2015-02-01,TX,2015Q1,February
2015,2,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),113522.0,MMCF,2015-02-01,TX,2015Q1,February
2015,2,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),337.0,MMCF,2015-02-01,TX,2015Q1,February
2015,2,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),297837.0,MMCF,2015-02-01,TX,2015Q1,February
2015,3,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),133061.0,MMCF,2015-03-01,TX,2015Q1,March
2015,3,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),20419.0,MMCF,2015-03-01,TX,2015Q1,March
2015,3,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),34514.0,MMCF,2015-03-01,TX,2015Q1,March
2015,3,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),127251.0,MMCF,2015-03-01,TX,2015Q1,March
2015,3,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),373.0,MMCF,2015-03-01,TX,2015Q1,March
2015,3,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),315617.0,MMCF,2015-03-01,TX,2015Q1,March
2015,4,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),129764.0,MMCF,2015-04-01,TX,2015Q2,April
2015,4,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),10986.0,MMCF,2015-04-01,TX,2015Q2,April
2015,4,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),271023.0,MMCF,2015-04-01,TX,2015Q2,April
2015,4,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),361.0,MMCF,2015-04-01,TX,2015Q2,April
2015,4,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),12629.0,MMCF,2015-04-01,TX,2015Q2,April
2015,4,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),117283.0,MMCF,2015-04-01,TX,2015Q2,April
2015,5,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),373.0,MMCF,2015-05-01,TX,2015Q2,May
2015,5,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),274677.0,MMCF,2015-05-01,TX,2015Q2,May
2015,5,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),10214.0,MMCF,2015-05-01,TX,2015Q2,May
2015,5,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),122352.0,MMCF,2015-05-01,TX,2015Q2,May
2015,5,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),134880.0,MMCF,2015-05-01,TX,2015Q2,May
2015,5,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),6857.0,MMCF,2015-05-01,TX,2015Q2,May
2015,6,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),145182.0,MMCF,2015-06-01,TX,2015Q2,June
2015,6,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),130022.0,MMCF,2015-06-01,TX,2015Q2,June
2015,6,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),6360.0,MMCF,2015-06-01,TX,2015Q2,June
2015,6,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),10620.0,MMCF,2015-06-01,TX,2015Q2,June
2015,6,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),361.0,MMCF,2015-06-01,TX,2015Q2,June
2015,6,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),292544.0,MMCF,2015-06-01,TX,2015Q2,June
2015,7,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),179372.0,MMCF,2015-07-01,TX,2015Q3,July
2015,7,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),133700.0,MMCF,2015-07-01,TX,2015Q3,July
2015,7,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),373.0,MMCF,2015-07-01,TX,2015Q3,July
2015,7,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),10649.0,MMCF,2015-07-01,TX,2015Q3,July
2015,7,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),6479.0,MMCF,2015-07-01,TX,2015Q3,July
2015,7,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),330573.0,MMCF,2015-07-01,TX,2015Q3,July
2015,8,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),135975.0,MMCF,2015-08-01,TX,2015Q3,August
2015,8,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),9420.0,MMCF,2015-08-01,TX,2015Q3,August
2015,8,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),183710.0,MMCF,2015-08-01,TX,2015Q3,August
2015,8,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),4875.0,MMCF,2015-08-01,TX,2015Q3,August
2015,8,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),373.0,MMCF,2015-08-01,TX,2015Q3,August
2015,8,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),334353.0,MMCF,2015-08-01,TX,2015Q3,August
2015,9,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),9633.0,MMCF,2015-09-01,TX,2015Q3,September
2015,9,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),292889.0,MMCF,2015-09-01,TX,2015Q3,September
2015,9,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),5401.0,MMCF,2015-09-01,TX,2015Q3,September
2015,9,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),361.0,MMCF,2015-09-01,TX,2015Q3,September
2015,9,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),128074.0,MMCF,2015-09-01,TX,2015Q3,September
2015,9,STX,TEXAS,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045TX2,Texas Natural Gas Deliveries to Electric Power Consumers (MMcf),149420.0,MMCF,2015-09-01,TX,2015Q3,September
2015,10,STX,TEXAS,EPG0,Natural Gas,VRS,Residential Consumption,N3010TX2,Texas Natural Gas Residential Consumption (MMcf),6334.0,MMCF,2015-10-01,TX,2015Q4,October
2015,10,STX,TEXAS,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060TX2,Natural Gas Delivered to Consumers in Texas (Including Vehicle Fuel) (MMcf),278831.0,MMCF,2015-10-01,TX,2015Q4,October
2015,10,STX,TEXAS,EPG0,Natural Gas,VIN,Industrial Consumption,N3035TX2,Texas Natural Gas Industrial Consumption (MMcf),132045.0,MMCF,2015-10-01,TX,2015Q4,October
2015,10,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),373.0,MMCF,2015-10-01,TX,2015Q4,October
